id,title,year
65414,"Appunti per un romanzo dell'immondezza",1970
65417,"Days and Nights in the Forest",1970
65418,"La araucana",1971
65419,Face,1970
65420,"Long Live Robin Hood",1971
65421,"The Aristocats",1970
65422,"Arizona Lets Fly and Kill Everybody",1970
65424,"Sweet Kill",1972
65425,"Sabata the Killer",1970
65427,"Aru heishi no kake",1970
65429,Asediul,1971
65430,"A Very Crazy Asylum",1970
65432,"El astronauta",1970
65433,"Atakku no. 1: Namida no kaiten reshîbu",1970
65434,"Atakku no. 1",1970
65435,"Atakku no. 1: Namida no sekai senshuken",1970
65436,"Even Dwarfs Started Small",1970
65437,"Aus unserer Zeit",1970
65438,"Ausweglos. Aussagen über einen Lebenslauf",1970
65439,"The Confession",1970
65441,"The Baby Maker",1970
65443,Bakumatsu,1970
65445,"The Ball of Count Orgel",1970
65446,"The Ballad of Cable Hogue",1970
65447,"Ballada o Beringe i ego druzyakh",1971
65448,"A Baltic Tragedy",1970
65450,Vengeance,1970
65451,Barquero,1970
65452,Bartleby,1970
65453,"Cuba: Battle of the 10,000,000",1971
65454,"The Boat on the Grass",1971
65456,"Beast of Blood",1970
65457,Beg,1971
65458,"The Amorous Adventures of a Young Postman",1970
65459,"The Beloved",1971
65460,"The Beast",1970
65462,"Beneath the Planet of the Apes",1970
65465,"Die Bettwurst",1971
65466,"Beyond the Valley of the Dolls",1970
65467,Bhai-Bhai,1970
65470,Bigfoot,1970
65473,"Birth of the Japanese Islands",1970
65474,"Black Angels",1970
65475,"Black Pearl",1970
65476,"Blondie's Number One",1971
65478,"Blood Mania",1970
65479,"Blood of the Iron Maiden",1970
65480,"Bloodthirsty Butchers",1970
65481,"Bloody Mama",1970
65482,"The Boatniks",1970
65483,"The Body Beneath",1970
65484,"Bombay Talkie",1970
65485,"Bongo Wolf's Revenge",1970
65486,Borsalino,1970
65488,"The Boys in the Band",1970
65489,"Brancaleone at the Crusades",1970
65491,"Mark of the Devil",1970
65492,"Brewster McCloud",1970
65493,"The Bridge in the Jungle",1970
65494,"See You at Mao",1970
65495,"Brothers Five",1970
65497,"Bruno der Schwarze - Es blies ein Jäger wohl in sein Horn",1971
65498,"Brother Carl",1971
65499,"Have a Good Funeral, My Friend... Sartana Will Pay",1970
65500,"El bueno para nada",1973
65501,"A Bullet for Pretty Boy",1970
65503,"The Scandalous Adventures of Buraikan",1970
65506,"Popsy Pop",1971
65509,"Sartana's Here... Trade Your Pistol for a Coffin",1970
65511,"C.C. & Company",1970
65512,"Cutting Heads",1970
65514,"Cactus in the Snow",1971
65515,Qui?,1970
65516,"La califfa",1970
65517,"Viva Cangaceiro",1970
65518,"The Year of the Cannibals",1970
65520,"Cannon for Cordoba",1970
65521,"Give Her the Moon",1970
65524,"Carry on Loving",1970
65525,"Carry on Up the Jungle",1970
65526,"La casa de los Martínez",1971
65527,"A Pocketful of Chestnuts",1970
65528,Catch-22,1970
65529,"Cerca di capirmi",1970
65530,"Le cercle des passions",1983
65531,"Le Cercle Rouge",1970
65532,"A Chafarica",1970
65533,"The Seagull",1972
65535,"Champagne Rose är död",1970
65536,"The Mushroom",1970
65538,"Chanoc contra el tigre y el vampiro",1972
65539,"Chanoc en las garras de las fieras",1970
65541,"Chesty: A Tribute to a Legend",1976
65542,"The Cheyenne Social Club",1970
65543,"Chi-zome no daimon",1970
65544,"Little Remi and Famous Dog Capi",1970
65545,Canticle,1970
65547,Chisum,1970
65548,"Chrezvychainyy komissar",1970
65549,"The Christine Jorgensen Story",1970
65550,"The Unholy Four",1970
65551,"Ciao, Federico!",1970
65552,"Os cinco Avisos de Satanás",1970
65553,"Five Dolls for an August Moon",1970
65554,"Le cinéma de papa",1971
65555,"Violent City",1970
65557,"The Class Reunion",1972
65560,"Cockeyed Cowboys of Calico County",1970
65561,"The Mad Heart",1970
65562,"Long mu xiang",1970
65563,"The Penal Colony",1970
65565,"Countdown to Vengeance",1971
65567,"Con la música a otra parte",1974
65568,"The Weekend Murders",1970
65569,"Count Dracula",1970
65570,"El Condor",1970
65571,"The Conformist",1970
65572,"When Heroes Die",1970
65573,"Let's Have a Riot",1970
65574,"Bust Out",1973
65575,"Cool It, Carol!",1970
65577,"Le coppie",1970
65578,Coqueluche,1970
65579,"Cotton Comes to Harlem",1970
65580,"Countess Dracula",1971
65581,"Brotherly Love",1970
65582,"Cover Me Babe",1970
65583,"Covilhã - Cidade da Serra e do Vale",1970
65584,"Safety Catch",1970
65585,Crates,1970
65586,"Secret Life of a Schoolgirl Wife",1971
65587,"Creedence Clearwater Revival Live in London",1970
65588,Cleopatra,1970
65589,"Cry of the Cormoran",1971
65590,"Crimen imperfecto",1970
65591,"Crimes of the Future",1970
65592,"Crisis mortal (La sombra del girasol)",1970
65593,Cromwell,1970
65595,"Crucible of Horror",1971
65596,"Cry Blood, Apache",1970
65597,"Cry of the Banshee",1970
65598,"Chronicle of a Lady",1971
65599,"Csak egy telefon",1970
65600,"Four Murders Are Enough, Darling",1971
65601,"Cuadrilátero",1970
65607,"Devilish Honeymoon",1970
65610,"Darker Than Amber",1970
65611,"Darling Lili",1970
65612,Darpan,1970
65613,"Das haut den stärksten Zwilling um",1971
65614,"That Can't Shake Our Willi!",1970
65616,"A Day at the Beach",1970
65617,"De profesión, sus labores",1970
65618,"Dead of Summer",1970
65619,Deadline,1971
65620,Deadlock,1970
65621,"The Conjugal Debt",1970
65622,"The Decameron",1971
65623,"La decente",1971
65626,"Play It Cool",1970
65627,"El desastre de Annual",1970
65628,"Después de los nueve meses",1970
65629,"O Destino Marca a Hora",1970
65630,"El tunco Maclovio",1970
65631,"Of Gods and the Undead",1970
65632,"Deux femmes en or",1970
65633,"El diablo Cojuelo",1971
65634,"Lu yin ji qing sha an",1970
65635,"Le diamant nu",1970
65636,"Diary of a Mad Housewife",1970
65637,Diegue-Bi,1970
65638,"Stagecoach of the Condemned",1970
65639,"El dinero tiene miedo",1970
65640,"Il dio serpente",1970
65641,"Dionysus in '69",1970
65642,"Dirty Dingus Magee",1970
65643,"The Dirty Mind of Young Sally",1973
65644,"Disperatamente l'estate scorsa",1970
65646,"Django Defies Sartana",1970
65648,"Doctor in Trouble",1970
65649,"Dodes'ka-den",1970
65651,"Bed & Board",1970
65652,"Don Erre que erre",1970
65653,"Don Giovanni",1970
65655,"Don't Look for Me at Places Where I Can't Be Found",1970
65656,"Dorian Gray",1970
65658,"Dr. Imbedebilius",1970
65659,"Medical Doctor Sommer the Second",1970
65660,"Dracula, Prisoner of Frankenstein",1972
65661,"Dear Irena",1970
65662,"The Pizza Triangle",1970
65663,"The Dreamer",1970
65666,"Druzba Pere Kvrzice",1970
65669,"The Dunwich Horror",1970
65670,"Twelve Chairs",1971
65671,"Dyadya Vanya",1971
65672,Dzieciol,1971
65673,"Dzien oczyszczenia",1970
65674,"Dziura w ziemi",1970
65675,"Take Me, I'm Old Enough",1970
65677,"The Forbidden Photos of a Lady Above Suspicion",1970
65678,"Días de ceniza",1970
65679,"Los días duros",1970
65681,"Black Lemons",1970
65683,Edipeon,1970
65685,"Eliza's Horoscope",1975
65686,"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause!",1970
65687,"Elvis: That's the Way It Is",1970
65688,Zapata,1970
65690,"En un lugar de La Manga",1970
65691,"Juan y Junior... en un mundo diferente",1970
65692,"End of the Road",1970
65693,"In the Folds of the Flesh",1970
65696,"Les enfants de Caïn",1970
65698,"Angels with Burnt Wings",1970
65699,"Enseñar a un sinvergüenza",1970
65700,"Entertaining Mr Sloane",1970
65701,"Erika's Hot Summer",1971
65702,"Chariots of the Gods",1970
65703,"First Love",1970
65704,"Españolas en París",1971
65705,"Espérame en Siberia, vida mía",1971
65709,"Every Home Should Have One",1970
65711,"The Executioner",1970
65712,"Los extremeños se tocan",1970
65713,"Ezo yakata no ketto",1970
65715,"The Demise of Father Mouret",1970
65716,"Fe, esperanza y caridad",1974
65717,"Panafrican Festival",1970
65718,"Die Feuerzangenbowle",1970
65719,Fiebre,1971
65720,"Figures in a Landscape",1970
65722,"The Firechasers",1971
65724,"Five Easy Pieces",1970
65726,Flap,1970
65727,"Flesh Feast",1970
65729,"Fei jian shen tong",1970
65731,Fools,1970
65732,"Formula 1: Nell'Inferno del Grand Prix",1970
65735,"Devil's Ransom",1970
65736,"The Madman",1970
65737,"Fragment of Fear",1970
65739,"The Hostess Also Likes to Blow the Horn",1970
65740,"The Hostess Exceeds All Bounds",1970
65742,"Fray Dólar",1970
65743,"Frisch, fromm, fröhlich, frei",1970
65744,"The Shiver of the Vampires",1971
65748,Fuenteovejuna,1972
65749,"Slaughter on the Khyber Pass",1970
65750,"Fury of the Wolfman",1972
65753,"Fußball wie noch nie",1971
65754,"Fútbol México 70",1970
65755,"Gamera vs. Monster X",1970
65756,"Lady Chatterly Versus Fanny Hill",1971
65757,"The Games",1970
65758,Ganwaar,1970
65760,"Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.",1970
65761,"The Cat o' Nine Tails",1971
65762,"Gebissen wird nur nachts - das Happening der Vampire",1971
65764,Geet,1970
65766,"Keine Angst Liebling, ich pass schon auf",1970
65767,"The Militarists",1970
65768,"The Yellow House on Pinnasberg",1970
65769,"The Troops on Vacation",1970
65770,"La generala",1971
65771,"Genesis III",1970
65772,"Claire's Knee",1970
65773,"Geschichten vom Kübelkind",1971
65774,"Gestatten... Vögelein im Dienst",1971
65775,"Getting Straight",1970
65776,"Space Amoeba",1970
65777,"The Garden of the Finzi-Continis",1970
65780,"Gimme Shelter",1970
65782,Sunflower,1970
65783,"Give God a Chance on Sunday",1970
65784,"Down with Your Hands... You Scum!",1971
65785,"Das Glöcklein unterm Himmelbett",1970
65787,"Godard in America",1970
65788,"Goin' Down the Road",1970
65790,"Goodbye Gemini",1970
65792,"Goya, historia de una soledad",1971
65795,"The Grasshopper",1970
65797,"The Great White Hope",1970
65799,"Pig Hunt",1970
65801,"The Big Mess",1971
65802,"Guess What We Learned in School Today?",1970
65803,"The Angry River",1971
65804,"Gold for the Tough Guys of the Prairie",1971
65806,"A gyilkos a házban van",1971
65807,"Gyula vitéz télen-nyáron",1970
65808,"Gods of the Plague",1970
65809,"Live Today, Die Tomorrow!",1970
65810,"Halls of Anger",1970
65813,"Hangyaku no Melody",1970
65814,"Happy Time",1970
65815,"The Hard Ride",1971
65817,"Hassan, the Bald",1970
65818,"Hatholdas rózsakert",1970
65820,"The Hawaiians",1970
65823,"Heintje - Mein bester Freund",1970
65825,"Hell Boats",1970
65826,"Hell's Bloody Devils",1970
65827,"Hello Jim",1970
65828,Hello-Goodbye,1970
65829,Hembra,1970
65830,Langlois,1970
65831,"A Herança",1970
65832,"Hercules in New York",1970
65833,"La hermanita Dinamita",1970
65834,"Heroic Purgatory",1970
65835,"Gentlemen in White Vests",1970
65836,"Hi, Mom!",1970
65838,"Hoa Binh",1970
65839,Hoffman,1970
65841,"Hollywood Blue",1970
65842,"Mr. Superinvisible",1970
65843,"The Man in Hiding",1971
65844,"El hombre que se quiso matar",1970
65845,"El hombre que vino del odio",1971
65846,"Los hombres las prefieren viudas",1970
65847,Homer,1970
65848,"The Band",1970
65850,"Hornets' Nest",1970
65851,"The Horror of Frankenstein",1970
65852,"Horror of the Blood Monsters",1970
65854,"The House That Dripped Blood",1971
65856,"House of Dark Shadows",1970
65859,"How Do I Love Thee?",1970
65861,"The Fed One",1970
65862,"Four Moods",1970
65865,"Hooray for the Blue Hussars",1970
65866,"Hurra, wir sind mal wieder Junggesellen!",1971
65867,Husbands,1970
65868,"Huyendo del sismo",1970
65870,"Wo bu yao li hun",1970
65871,"I Love My Wife",1970
65872,"I Never Sang for My Father",1970
65873,"I Told You So",1970
65874,"I Walk the Line",1970
65875,"I Will Remember You Always",1970
65876,"Ich schlafe mit meinem Mörder",1970
65877,"Higher and Higher",1970
65878,Ichhapuran,1970
65879,Al-ikhtiyar,1971
65880,"As Ilhas do Meio do Mundo",1970
65882,Ilzam,1970
65883,Imago,1970
65886,"In Search of Oregon",1970
65887,"Incense for the Damned",1971
65889,"Investigation of a Citizen Above Suspicion",1970
65890,"Stranger That Kneels Beside the Shadow of a Corpse",1970
65891,Initiation,1970
65892,"Hard Women",1970
65897,Invasion,1970
65898,"Investigación criminal",1970
65900,"Io non scappo... fuggo",1970
65903,"Ishq Par Zor Nahin",1970
65905,"Scream of the Demon Lover",1970
65906,"Jack Johnson",1970
65907,"Jaider, der einsame Jäger",1971
65908,"How I Unleashed World War II",1970
65909,"Les jambes en l'air",1971
65913,"The Garden of Delights",1970
65914,"Jarzebina czerwona",1970
65915,"Libido: The Urge to Love",1971
65916,Joe,1970
65917,Jonathan,1970
65918,"Sensational Janine",1970
65919,"The Wedding Day",1977
65920,"The Joys of Jezebel",1970
65921,"El juicio de los hijos",1971
65922,"Julius Caesar",1970
65925,"Die Jungfrauen von Bumshausen",1970
65926,"Junket 89",1970
65927,Jwala,1971
65928,"Jänken",1970
65929,"Los jóvenes amantes",1971
65931,"Kaidan Kasane-ga-fuchi",1970
65932,"Blind Woman's Curse",1970
65933,"Kamrater, motståndaren är välorganiserad",1970
65935,"Catherine and Her Children",1975
65936,"Kati Patang",1970
65938,"Kelly's Heroes",1970
65939,Khozyain,1971
65940,"You sha mao pei",1970
65942,"King of Swindlers",1970
65943,"King of the Grizzlies",1970
65944,"King: A Filmed Record... Montgomery to Memphis",1970
65945,Breakout,1971
65946,Kodou,1973
65948,"Landscape After Battle",1970
65949,Krazha,1970
65950,"The Kremlin Letter",1970
65951,Strogoff,1970
65952,"Kyojin no hoshi, dairigu boru",1970
65953,"Kyojin no hoshi, shumekei no taiketsu",1970
65954,Kyrkoherden,1970
65955,"A Swedish Love Story",1970
65956,"Kurtalábú pásztor",1972
65957,"The Lady in the Car with Glasses and a Gun",1970
65958,"Lady of Steel",1970
65959,Laia,1972
65962,"Land Raiders",1970
65963,"The Landlord",1970
65964,"La larga agonía de los peces fuera del agua",1970
65965,"The Last Act of Martin Weston",1970
65966,"The Last Escape",1970
65967,"The Last Grenade",1970
65968,"The Last Rebel",1971
65969,"The Last Valley",1971
65970,"The Lawyer",1970
65973,"Summer Love",1970
65974,"Leo the Last",1970
65975,"Churchill's Leopards",1970
65977,"The Lewd Woman",1970
65979,"The Liberation of L.B. Jones",1970
65980,"Liberxina 90",1970
65981,"The Lickerish Quartet",1970
65983,"Love Under 17",1971
65984,"Die liebestollen Baronessen",1970
65985,"Liebling, sei nicht albern!",1970
65986,"The Song of the Balalaika",1971
65987,Handcuffs,1970
65988,"Little Big Man",1970
65989,"Little Fauss and Big Halsy",1970
65990,"Tvár pod maskou",1970
65991,"His Name Was Holy Ghost",1972
65992,"Un par de asesinos",1970
65994,"Lokis. Rekopis profesora Wittembacha",1970
65995,"La Lola, dicen que no vive sola",1970
65996,"London Clouds",1970
65999,"The Hammer of God",1970
66001,"The Looking Glass War",1970
66002,Loot,1970
66004,"Piao xiang jian yu",1977
66005,"Yu lou chun meng",1970
66006,"Lotte in Italia",1971
66007,"Sign of Aquarius",1970
66009,"Love Me Like I Do",1970
66010,"Hai wai qing ge",1970
66011,"Love Story",1970
66013,"Love Without End",1970
66014,"Love and Kisses",1971
66015,"Lovers and Other Relatives",1974
66016,"Lovers and Other Strangers",1970
66017,Loving,1970
66018,"Lucie and the Miracles",1970
66020,"Lucky Seven",1986
66021,"Lucky Seven Strike Again",1970
66022,"Luk královny Dorotky",1971
66023,Lupo!,1970
66024,"Lyckliga skitar",1970
66025,"The Liar",1970
66026,MASH,1970
66027,"Ma chi t'ha dato la patente?",1970
66029,"Macbeth Oper von Rosa von Praunheim",1971
66031,Machibuse,1970
66032,"Machismo: 40 Graves for 40 Guns",1971
66033,"Macho Callahan",1970
66034,Madron,1970
66035,"The Falcons",1970
66036,"The Magic Garden of Stanley Sweetheart",1970
66037,"Den magiska cirkeln",1970
66038,"The Magnificent Robin Hood",1970
66040,"Don't Deliver Us from Evil",1971
66041,"The House of the Bories",1970
66042,"The House",1970
66043,"The Making of 'Butch Cassidy and the Sundance Kid'",1970
66045,"Il tuo dolce corpo da uccidere",1970
66047,"A Maluquinha de Arroios",1970
66048,Maly,1970
66049,"A Man Called Horse",1970
66050,"A Man Called Sledge",1970
66052,"The Man Who Had Power Over Women",1970
66053,"The Man Who Haunted Himself",1970
66056,"The Man from O.R.G.Y.",1970
66058,"Mark of the Witch",1970
66063,"Bedroom Mazurka",1970
66064,"The McKenzie Break",1970
66066,"My Father, the Ape and I",1971
66067,"My Zero Hour",1970
66070,"Mera Naam Joker",1970
66071,"More About the Language of Love",1970
66072,"Temperate Zone",1970
66073,"Los meses y los días",1973
66074,Metamorfosis,1970
66075,Metello,1970
66076,"El metiche",1972
66077,"Moon and Midnight",1970
66078,"Michael the Brave",1970
66080,"The Mind of Mr. Soames",1970
66081,"Good-Bye Nana",1970
66082,Mio,1972
66083,"Mir hat es immer Spaß gemacht",1970
66085,"Santo contra los asesinos de la mafia",1970
66086,"Miss Nymphet's Zap-In",1970
66087,"El misterio de la vida",1970
66089,"The Modification",1970
66090,"The Molly Maguires",1970
66091,"Mon shwe yee",1970
66093,"Monte Walsh",1970
66094,"El monumento",1970
66095,Moonfire,1970
66096,"The Moonshine War",1970
66098,"Death Occurred Last Night",1970
66099,"Up Your Teddy Bear",1970
66101,"Mourir d'aimer...",1971
66102,Move,1970
66104,"She Killed in Ecstasy",1971
66106,"La mujer celosa",1970
66108,"Atlantic Wall",1970
66109,"The Music Lovers",1971
66110,"Musik, Musik - da wackelt die Penne",1970
66111,"Muz, ktery rozdaval smich",1971
66112,"Mwana keba",1970
66113,"My Lover, My Son",1970
66115,"Myra Breckinridge",1970
66116,"The Brutes",1970
66117,"De många sängarna",1970
66118,"Le mépris n'aura qu'un temps",1970
66119,"N.N. a halál angyala",1970
